fold,model,n_knots,degree,alpha,transformed_width,r2,mae,rmse,transform_seconds,fit_seconds
3,spline_k6_d2_a3p0,6,2,3.0,280,0.7953148458468482,0.5769977052923742,0.7229737605822804,0.14746509999895352,0.021242499999061693
3,spline_k6_d2_a10p0,6,2,10.0,280,0.7954428664929358,0.5764090162595609,0.72274763269064,0.14746509999895352,0.018936500000563683
3,spline_k6_d2_a30p0,6,2,30.0,280,0.7930377010603843,0.5804549204338247,0.7269842184231873,0.14746509999895352,0.020730799999000737
3,spline_k6_d3_a3p0,6,3,3.0,316,0.7957783921096059,0.5768686512278958,0.7221546446506677,0.16380489999937708,0.024561800000810763
3,spline_k6_d3_a10p0,6,3,10.0,316,0.7945385388452366,0.577545349454042,0.7243434701741104,0.16380489999937708,0.026213299999653827
3,spline_k6_d3_a30p0,6,3,30.0,316,0.793289085121508,0.5792376762495283,0.7265425733161468,0.16380489999937708,0.02133719999983441
3,spline_k7_d2_a3p0,7,2,3.0,316,0.7954375152694262,0.5785257959463991,0.7227570861835677,0.13059099999736645,0.019584300000133226
3,spline_k7_d2_a10p0,7,2,10.0,316,0.7951714368693592,0.5780257540828988,0.7232269855267067,0.13059099999736645,0.02167130000088946
3,spline_k7_d2_a30p0,7,2,30.0,316,0.7919322932978746,0.5828201775330119,0.7289230831618634,0.13059099999736645,0.021191699997871183
3,spline_k7_d3_a3p0,7,3,3.0,352,0.7951279632907424,0.5762988988953192,0.7233037316518727,0.14413749999948777,0.02684190000218223
3,spline_k7_d3_a10p0,7,3,10.0,352,0.7940476461550089,0.577558032291593,0.7252082619928946,0.14413749999948777,0.02291940000213799
3,spline_k7_d3_a30p0,7,3,30.0,352,0.7932597136380922,0.5791434133293692,0.7265941885759748,0.14413749999948777,0.023343400000158
4,spline_k4_d2_a3p0,4,2,3.0,208,0.7869218183300496,0.5814591202787653,0.7335469467599649,0.1094487999980629,0.01570509999874048
4,spline_k4_d2_a10p0,4,2,10.0,208,0.7851864825580616,0.5843769149121308,0.7365279394183281,0.1094487999980629,0.01655689999824972
4,spline_k4_d2_a30p0,4,2,30.0,208,0.7800836363609929,0.5909670952045164,0.7452246223653466,0.1094487999980629,0.01650339999832795
4,spline_k4_d3_a3p0,4,3,3.0,244,0.7857670530926681,0.5853718333263785,0.7355319692025635,0.12828090000039083,0.020706799998151837
4,spline_k4_d3_a10p0,4,3,10.0,244,0.7840931370002324,0.5879727803022476,0.7383999293500683,0.12828090000039083,0.019139799998811213
4,spline_k4_d3_a30p0,4,3,30.0,244,0.7814892425478869,0.5916697103461994,0.742839234876318,0.12828090000039083,0.01979109999956563
4,spline_k5_d2_a3p0,5,2,3.0,244,0.7863472954309138,0.5838864127301986,0.7345352126997335,0.1489688000001479,0.024399699999776203
4,spline_k5_d2_a10p0,5,2,10.0,244,0.7844154028980049,0.5872100389958829,0.7378486500269508,0.1489688000001479,0.02487190000101691
4,spline_k5_d2_a30p0,5,2,30.0,244,0.7794348051819981,0.5934276787449453,0.7463231510173408,0.1489688000001479,0.025700400001369417
