left,right,correlation,abs_correlation
Protein_Intake_Grams,Immune_Health_Score,0.26044464284378105,0.26044464284378105
Exercise_Frequency_Per_Week,Anxiety_Score,-0.25976382958291233,0.25976382958291233
Exercise_Frequency_Per_Week,Depression_Risk_Score,-0.25715704796976896,0.25715704796976896
Daily_Steps,Mood_Score,0.2569297538262363,0.2569297538262363
Cholesterol_Level,Health_Score,-0.2539109270850873,0.2539109270850873
Water_Intake_Liters,Fatigue_Level_Score,-0.2493389369559985,0.2493389369559985
Daily_Steps,Focus_Concentration_Score,0.247328547626827,0.247328547626827
Outdoor_Time_Hours,Energy_Level_Score,0.24712104296803977,0.24712104296803977
Outdoor_Time_Hours,Health_Score,0.24600846541256022,0.24600846541256022
Vegetable_Intake_Per_Day,Immune_Health_Score,0.24102413170902365,0.24102413170902365
Age,Resting_Heart_Rate,0.238099174715198,0.238099174715198
Energy_Level_Score,Immune_Health_Score,0.23776235308796798,0.23776235308796798
Daily_Calorie_Intake,Outdoor_Time_Hours,0.23642801915660225,0.23642801915660225
Age,Blood_Sugar_Level,0.2361884359490693,0.2361884359490693
Exercise_Duration_Minutes,Daily_Steps,0.23033741487703224,0.23033741487703224
Diastolic_BP,Health_Score,-0.2288942436462619,0.2288942436462619
Water_Intake_Liters,Resting_Heart_Rate,-0.2274137020948015,0.2274137020948015
Diastolic_BP,Cholesterol_Level,0.22738797002189481,0.22738797002189481
Protein_Intake_Grams,Resting_Heart_Rate,-0.22499728592109447,0.22499728592109447
Weight_kg,Systolic_BP,0.22277640186860545,0.22277640186860545
Protein_Intake_Grams,Fatigue_Level_Score,-0.2221802164307207,0.2221802164307207
Stress_Level,Social_Interaction_Score,-0.2219861215925206,0.2219861215925206
Outdoor_Time_Hours,Healthy_Aging_Score,0.220025663476981,0.220025663476981
Protein_Intake_Grams,Productivity_Score,0.21903978279393116,0.21903978279393116
Water_Intake_Liters,Productivity_Score,0.21857315123055449,0.21857315123055449
Daily_Steps,Anxiety_Score,-0.21699624129353706,0.21699624129353706
Daily_Steps,Depression_Risk_Score,-0.21555566051031286,0.21555566051031286
Fast_Food_Meals_Per_Week,Healthy_Aging_Score,-0.2112860139095125,0.2112860139095125
BMI,Diastolic_BP,0.210355220770376,0.210355220770376
BMI,Cholesterol_Level,0.20905724587688027,0.20905724587688027
Water_Intake_Liters,Life_Satisfaction_Score,0.20868610874551913,0.20868610874551913
Protein_Intake_Grams,Life_Satisfaction_Score,0.2084323987975064,0.2084323987975064
Fast_Food_Meals_Per_Week,Health_Score,-0.2068337653682169,0.2068337653682169
Cholesterol_Level,Blood_Sugar_Level,0.2054071759331438,0.2054071759331438
Daily_Calorie_Intake,Immune_Health_Score,0.20459183755819546,0.20459183755819546
Sleep_Duration_Hours,Sleep_Quality_Score,0.2024935534895981,0.2024935534895981
Resting_Heart_Rate,Energy_Level_Score,-0.19840718139586863,0.19840718139586863
Water_Intake_Liters,Focus_Concentration_Score,0.19695282265756198,0.19695282265756198
Outdoor_Time_Hours,Resting_Heart_Rate,-0.19428459694422454,0.19428459694422454
Resting_Heart_Rate,Systolic_BP,0.189513946667325,0.189513946667325
Protein_Intake_Grams,Mood_Score,0.18736734888015508,0.18736734888015508
Outdoor_Time_Hours,Immune_Health_Score,0.18717219418550657,0.18717219418550657
Daily_Calorie_Intake,Resting_Heart_Rate,-0.18621846201891082,0.18621846201891082
Water_Intake_Liters,Mood_Score,0.1854480859595732,0.1854480859595732
Daily_Calorie_Intake,Fatigue_Level_Score,-0.18361949284047369,0.18361949284047369
BMI,Blood_Sugar_Level,0.18214320693077907,0.18214320693077907
Weight_kg,Diastolic_BP,0.1817206023705019,0.1817206023705019
Daily_Calorie_Intake,Productivity_Score,0.18138814627413416,0.18138814627413416
Systolic_BP,Blood_Sugar_Level,0.18057255420852372,0.18057255420852372
Protein_Intake_Grams,Focus_Concentration_Score,0.17799552279227135,0.17799552279227135
Social_Interaction_Score,Anxiety_Score,-0.17721836661034154,0.17721836661034154
Outdoor_Time_Hours,Productivity_Score,0.17569038990569485,0.17569038990569485
Weight_kg,Cholesterol_Level,0.1749390637762112,0.1749390637762112
Sleep_Quality_Score,Number_of_Night_Awakenings,-0.1705212687492407,0.1705212687492407
Daily_Calorie_Intake,Life_Satisfaction_Score,0.16890813224280485,0.16890813224280485
