contract,fold,family,model,alpha,l1_ratio,source_feature_count,engineered_feature_count,transformed_width,r2,mae,rmse,fit_seconds
competition_proxy_inclusive,2,elastic_net,elastic_a0p0001_l1_0p5,0.0001,0.5,60,62,105,0.9810947754182444,1.3395022384696404,1.68967087881503,0.2543072000000848
competition_proxy_inclusive,2,elastic_net,elastic_a0p0001_l1_0p7,0.0001,0.7,60,62,105,0.9810927362091152,1.3395965698610417,1.689762004401956,0.24547740000002705
competition_proxy_inclusive,2,elastic_net,elastic_a0p0001_l1_0p9,0.0001,0.9,60,62,105,0.9810906256437547,1.3396918364641162,1.689856313490603,0.24376600000005055
competition_proxy_inclusive,2,elastic_net,elastic_a0p0003_l1_0p1,0.0003,0.1,60,62,105,0.9811280699025575,1.3383543588592643,1.688182361422532,0.29330370000002404
competition_proxy_inclusive,2,elastic_net,elastic_a0p0003_l1_0p3,0.0003,0.3,60,62,105,0.9811239933204534,1.3385473353860686,1.6883646862392445,0.22307749999981752
competition_proxy_inclusive,2,elastic_net,elastic_a0p0003_l1_0p5,0.0003,0.5,60,62,105,0.9811193118483754,1.3387862117258948,1.6885740404278111,0.203477600000042
competition_proxy_inclusive,2,elastic_net,elastic_a0p0003_l1_0p7,0.0003,0.7,60,62,105,0.9811140110056084,1.339038725643063,1.6888110613789467,0.195124000000078
competition_proxy_inclusive,2,elastic_net,elastic_a0p0003_l1_0p9,0.0003,0.9,60,62,105,0.9811080675356113,1.339300410933116,1.6890767770982127,0.1933534999998301
competition_proxy_inclusive,2,elastic_net,elastic_a0p001_l1_0p1,0.001,0.1,60,62,105,0.9811783821086103,1.3370691249770976,1.6859305285806225,0.20778889999996863
competition_proxy_inclusive,2,elastic_net,elastic_a0p001_l1_0p3,0.001,0.3,60,62,105,0.9811808323974114,1.337009594891459,1.6858207837336303,0.21910030000003644
competition_proxy_inclusive,2,elastic_net,elastic_a0p001_l1_0p5,0.001,0.5,60,62,105,0.9811789713847969,1.3371310012806958,1.6859041364156495,0.20084789999987152
competition_proxy_inclusive,2,elastic_net,elastic_a0p001_l1_0p7,0.001,0.7,60,62,105,0.9811721744122038,1.3374060124271459,1.6862085302418115,0.1253795000000082
competition_proxy_inclusive,2,elastic_net,elastic_a0p001_l1_0p9,0.001,0.9,60,62,105,0.9811567668962914,1.3379316324970592,1.6868983329928917,0.10575169999992795
competition_proxy_inclusive,2,elastic_net,elastic_a0p003_l1_0p1,0.003,0.1,60,62,105,0.9810335604241969,1.3425458055795065,1.6924042396017318,0.14041219999990062
competition_proxy_inclusive,2,elastic_net,elastic_a0p003_l1_0p3,0.003,0.3,60,62,105,0.9811194331857218,1.3398018065031392,1.6885686145815466,0.052274200000056226
competition_proxy_inclusive,2,elastic_net,elastic_a0p003_l1_0p5,0.003,0.5,60,62,105,0.9811845774608806,1.3373900661849283,1.6856530340196587,0.031695700000000215
competition_proxy_inclusive,2,elastic_net,elastic_a0p003_l1_0p7,0.003,0.7,60,62,105,0.9812221495318092,1.3361993712713802,1.68396917270564,0.02443829999992886
competition_proxy_inclusive,2,elastic_net,elastic_a0p003_l1_0p9,0.003,0.9,60,62,105,0.9812247515181539,1.3359604347374665,1.6838524975675955,0.022029700000075536
competition_proxy_inclusive,2,elastic_net,elastic_a0p01_l1_0p1,0.01,0.1,60,62,105,0.9795058748674554,1.39305958264502,1.759243238417979,0.025021800000104122
competition_proxy_inclusive,2,elastic_net,elastic_a0p01_l1_0p3,0.01,0.3,60,62,105,0.9799264148916833,1.3781296544126662,1.7410998197397425,0.02347630000008394
competition_proxy_inclusive,2,elastic_net,elastic_a0p01_l1_0p5,0.01,0.5,60,62,105,0.980330443018903,1.3645114617086358,1.7234888888729545,0.019443599999931394
competition_proxy_inclusive,2,elastic_net,elastic_a0p01_l1_0p7,0.01,0.7,60,62,105,0.9807038707710342,1.351895382736439,1.7070502213080114,0.017623400000047695
competition_proxy_inclusive,2,elastic_net,elastic_a0p01_l1_0p9,0.01,0.9,60,62,105,0.9809705365272123,1.343975427233302,1.6952137666555767,0.015475700000024517
competition_proxy_inclusive,3,ridge,ridge_a0p01,0.01,,60,62,105,0.978706219336343,1.4553316225151223,1.830091597288045,0.007142100000010032
competition_proxy_inclusive,3,ridge,ridge_a0p1,0.1,,60,62,105,0.9787059690578289,1.4553362803633605,1.8301023523358946,0.007235399999899528
competition_proxy_inclusive,3,ridge,ridge_a0p3,0.3,,60,62,105,0.9787053062040703,1.4553464086468515,1.8301308363929083,0.005716300000131014
competition_proxy_inclusive,3,ridge,ridge_a1,1.0,,60,62,105,0.9787018550623886,1.4554423565486128,1.8302791311979403,0.0055747000001247216
competition_proxy_inclusive,3,ridge,ridge_a3,3.0,,60,62,105,0.978682992145574,1.4561721131249852,1.8310894544036054,0.005405000000109794
competition_proxy_inclusive,3,ridge,ridge_a10,10.0,,60,62,105,0.9785359690317692,1.4621667992194591,1.8373931035899267,0.00589839999997821
competition_proxy_inclusive,3,ridge,ridge_a30,30.0,,60,62,105,0.9777929956860185,1.4916309306910116,1.8689230799700969,0.005558400000154506
competition_proxy_inclusive,3,elastic_net,elastic_a0p0001_l1_0p1,0.0001,0.1,60,62,105,0.978705018721014,1.4553251399115044,1.8301431899358958,0.26021670000000086
competition_proxy_inclusive,3,elastic_net,elastic_a0p0001_l1_0p3,0.0001,0.3,60,62,105,0.9787072915493474,1.455230556100904,1.8300455210946547,0.24276350000013736
competition_proxy_inclusive,3,elastic_net,elastic_a0p0001_l1_0p5,0.0001,0.5,60,62,105,0.9787094831261187,1.455136325130838,1.829951338889743,0.2156572999999753
competition_proxy_inclusive,3,elastic_net,elastic_a0p0001_l1_0p7,0.0001,0.7,60,62,105,0.9787116001830043,1.4550414239556608,1.8298603545464067,0.20608969999989313
competition_proxy_inclusive,3,elastic_net,elastic_a0p0001_l1_0p9,0.0001,0.9,60,62,105,0.9787136416003767,1.4549461447753418,1.8297726166631967,0.20320189999983995
competition_proxy_inclusive,3,elastic_net,elastic_a0p0003_l1_0p1,0.0003,0.1,60,62,105,0.978698864538245,1.4555516265430788,1.8304076236517286,0.22703709999996136
competition_proxy_inclusive,3,elastic_net,elastic_a0p0003_l1_0p3,0.0003,0.3,60,62,105,0.9787061490918496,1.4552079879872075,1.8300946158631217,0.2027242000001479
competition_proxy_inclusive,3,elastic_net,elastic_a0p0003_l1_0p5,0.0003,0.5,60,62,105,0.9787117089864934,1.4549035938659511,1.829855678397719,0.20795350000003054
competition_proxy_inclusive,3,elastic_net,elastic_a0p0003_l1_0p7,0.0003,0.7,60,62,105,0.9787169062701887,1.454610884693082,1.8296322959852396,0.16170739999984107
competition_proxy_inclusive,3,elastic_net,elastic_a0p0003_l1_0p9,0.0003,0.9,60,62,105,0.9787212710992682,1.4543730773654853,1.829444671905624,0.1534582000001592
competition_proxy_inclusive,3,elastic_net,elastic_a0p001_l1_0p1,0.001,0.1,60,62,105,0.9786423517661549,1.457636910984005,1.8328340879910325,0.17452659999980824
competition_proxy_inclusive,3,elastic_net,elastic_a0p001_l1_0p3,0.001,0.3,60,62,105,0.9786750359370229,1.4561496199304946,1.831431133933973,0.12731460000009065
