contract,family,model,alpha,l1_ratio,source_feature_count,engineered_feature_count,transformed_width_max,fold_r2_mean,fold_r2_std,oof_r2,oof_mae,oof_rmse,control_oof_r2,delta_vs_fixed_elastic_r2,total_fit_seconds
scientific_proxy_removed,elastic_net,elastic_a0p0001_l1_0p5,0.0001,0.5,59,61,104,0.9274076816596587,0.001959522715883954,0.9274365715121751,2.617906769688694,3.2991996191529998,0.9275015979762417,-6.502646406658652e-05,1.7894556999999622
scientific_proxy_removed,elastic_net,elastic_a0p0001_l1_0p3,0.0001,0.3,59,61,104,0.9274069310926244,0.001959546463002124,0.9274358149299957,2.6179247443078264,3.299216818651313,0.9275015979762417,-6.578304624593745e-05,2.0204817999999705
scientific_proxy_removed,elastic_net,elastic_a0p0001_l1_0p1,0.0001,0.1,59,61,104,0.9274061244983169,0.001959566220714966,0.9274350025705065,2.617945108908465,3.2992352860439134,0.9275015979762417,-6.659540573517031e-05,2.3839808000000176
scientific_proxy_removed,ridge,ridge_a0p3,0.3,,59,61,104,0.9274007382193672,0.0019645892979626056,0.9274297980528249,2.6180054278750067,3.299353598047751,0.9275015979762417,-7.1799923416771e-05,0.031286300000147094
scientific_proxy_removed,ridge,ridge_a0p1,0.1,,59,61,104,0.9273975041527589,0.001967630583751048,0.9274266808909964,2.618039877632139,3.2994244570806606,0.9275015979762417,-7.491708524520746e-05,0.033314099999643076
scientific_proxy_removed,ridge,ridge_a0p01,0.01,,59,61,104,0.9273959660736294,0.001969024437592597,0.9274251976526012,2.6180563321237305,3.299458173383652,0.9275015979762417,-7.640032364042426e-05,0.03394520000006196
scientific_proxy_removed,elastic_net,elastic_a0p01_l1_0p7,0.01,0.7,59,61,104,0.9273943744624988,0.0015511266412761365,0.9274193999540895,2.6208888564606085,3.299589960733383,0.9275015979762417,-8.219802215214678e-05,0.2218192000000272
scientific_proxy_removed,elastic_net,elastic_a0p003_l1_0p1,0.003,0.1,59,61,104,0.9273467022065915,0.0017597796674284198,0.9273723139048102,2.621419526167801,3.300660077718421,0.9275015979762417,-0.00012928407143142362,0.5091574000000492
scientific_proxy_removed,ridge,ridge_a30,30.0,,59,61,104,0.9270869388808756,0.0016559992760431285,0.9271120708876524,2.6272492041868145,3.30656833171849,0.9275015979762417,-0.0003895270885893032,0.030588100000159102
scientific_proxy_removed,elastic_net,elastic_a0p01_l1_0p5,0.01,0.5,59,61,104,0.9270633302352984,0.001483317747876322,0.9270884997772788,2.628110154198497,3.30710294141238,0.9275015979762417,-0.00041309819896284683,0.23150820000023487
scientific_proxy_removed,elastic_net,elastic_a0p01_l1_0p3,0.01,0.3,59,61,104,0.9266865033576854,0.0014337773556961052,0.9267117445655675,2.636037151939319,3.315636319815674,0.9275015979762417,-0.0007898534106741684,0.21298560000013822
scientific_proxy_removed,elastic_net,elastic_a0p01_l1_0p1,0.01,0.1,59,61,104,0.9262902378399485,0.001412266555577091,0.9263150431743464,2.6441742229127057,3.3245977994976905,0.9275015979762417,-0.0011865548018952232,0.20958260000020346
