contract,fold,model,alpha,l1_ratio,source_feature_count,engineered_feature_count,transformed_width,r2,adjusted_r2_raw,adjusted_r2_transformed,mae,rmse,fit_seconds
competition,3,elastic_a0p003_l1_0p1,0.003,0.1,62,64,111,0.6131654537667588,0.5970368472788582,0.584308844471134,0.5654112051867515,0.7142901638796806,0.03721479999876465
competition,3,elastic_a0p003_l1_0p3,0.003,0.3,62,64,111,0.6147846147283073,0.5987235172316374,0.5860487896173141,0.5642000558678189,0.712793705595822,0.020148699997662334
competition,3,elastic_a0p003_l1_0p5,0.003,0.5,62,64,111,0.6160814867573823,0.600074460798081,0.5874424041163,0.5633823664917346,0.7115928429177503,0.0185892999979842
competition,3,elastic_a0p003_l1_0p7,0.003,0.7,62,64,111,0.6168324780785863,0.6008567638095501,0.5882494169675131,0.5628355094630134,0.7108965211403212,0.0340637000008428
competition,3,elastic_a0p003_l1_0p9,0.003,0.9,62,64,111,0.6173247265897389,0.6013695360371287,0.5887783856296993,0.5624485356996791,0.7104397363190051,0.017431399999622954
competition,3,elastic_a0p01_l1_0p1,0.01,0.1,62,64,111,0.6133831100132465,0.5972635784437663,0.5845427371714927,0.5650927801669186,0.714089184426344,0.021885900001507252
competition,3,elastic_a0p01_l1_0p3,0.01,0.3,62,64,111,0.6156622151427056,0.5996377081519129,0.5869918561916574,0.563499647364993,0.7119812967931605,0.012940900000103284
competition,3,elastic_a0p01_l1_0p5,0.01,0.5,62,64,111,0.6168554719839392,0.6008807164184486,0.5882741261440314,0.5628571554350416,0.7108751903494396,0.011027000000467524
competition,3,elastic_a0p01_l1_0p7,0.01,0.7,62,64,111,0.6177043324447884,0.6017649691069815,0.5891863088570004,0.5623548842024653,0.7100872782213865,0.008341000000655185
competition,3,elastic_a0p01_l1_0p9,0.01,0.9,62,64,111,0.6182259258391285,0.6023083097177632,0.5897468114359989,0.5621218442938389,0.7096027013815948,0.008425899999565445
competition,3,elastic_a0p03_l1_0p1,0.03,0.1,62,64,111,0.6095836849424454,0.5933057408618698,0.5804598872466198,0.5680946751805881,0.7175894132683748,0.01135710000016843
competition,3,elastic_a0p03_l1_0p3,0.03,0.3,62,64,111,0.6123232631588464,0.5961595425348505,0.5834038291606152,0.5663219664462957,0.7150672937991246,0.009701700000732671
competition,3,elastic_a0p03_l1_0p5,0.03,0.5,62,64,111,0.6125269946071373,0.5963717683236565,0.5836227583177505,0.5663393475371267,0.7148793784224763,0.008601500001532258
competition,3,elastic_a0p03_l1_0p7,0.03,0.7,62,64,111,0.6119140861639525,0.5957333053916352,0.5829641288818279,0.5668617863419729,0.71544455647106,0.008212900000216905
competition,3,elastic_a0p03_l1_0p9,0.03,0.9,62,64,111,0.6110599051936656,0.5948435103613494,0.5820462287665802,0.5674475043198971,0.7162314740109549,0.007846000000427011
competition,4,elastic_a0p0001_l1_0p1,0.0001,0.1,62,64,111,0.6288778461845943,0.6134043492176979,0.6011933306782031,0.5600122378968335,0.6924482679769054,0.39553739999973914
competition,4,elastic_a0p0001_l1_0p3,0.0001,0.3,62,64,111,0.6290127472154359,0.6135448747866332,0.6013382948907809,0.5599139862067518,0.6923224058120714,0.3213328999991063
competition,4,elastic_a0p0001_l1_0p5,0.0001,0.5,62,64,111,0.6291454768874287,0.6136831384644942,0.6014809257681442,0.5598175412726495,0.6921985471811615,0.2978010999977414
competition,4,elastic_a0p0001_l1_0p7,0.0001,0.7,62,64,111,0.6292759604530449,0.6138190623872435,0.6016211429868406,0.5597245801468965,0.6920767629301391,0.26920109999991837
competition,4,elastic_a0p0001_l1_0p9,0.0001,0.9,62,64,111,0.6294047632258855,0.6139532354385608,0.6017595540310422,0.5596325014409501,0.6919565263921129,0.26365630000145757
competition,4,elastic_a0p0003_l1_0p1,0.0003,0.1,62,64,111,0.6291373591790126,0.6136746822978769,0.6014722025048663,0.5598114124547068,0.6922061229755406,0.3281648000011046
competition,4,elastic_a0p0003_l1_0p3,0.0003,0.3,62,64,111,0.6295018416073367,0.6140543613877076,0.6018638741465936,0.5595607131417047,0.6918658905546425,0.24698470000294037
competition,4,elastic_a0p0003_l1_0p5,0.0003,0.5,62,64,111,0.629813194642868,0.6143786959178801,0.602198453114211,0.5593734548230858,0.6915751201203411,0.20439229999828967
competition,4,elastic_a0p0003_l1_0p7,0.0003,0.7,62,64,111,0.6301315395256754,0.6147103138120878,0.6025405454983568,0.559177435021515,0.6912776935918025,0.16794469999877037
competition,4,elastic_a0p0003_l1_0p9,0.0003,0.9,62,64,111,0.6304217987134894,0.6150126750116414,0.6028524570852618,0.5590240382100697,0.69100639567859,0.08398229999875184
