fold,repeat,subsample_seed,training_fraction,training_rows,validation_rows,engineered_feature_count,transformed_width,train_r2,train_adjusted_r2_raw,validation_r2,validation_adjusted_r2_raw,validation_mae,validation_rmse,generalization_gap_r2,transform_seconds,fit_seconds
0,4,2070,1.0,6400,1600,60,103,0.6281195416693486,0.6245996130528729,0.6154278025467421,0.6004347344199095,0.576430202619688,0.7181075032947203,0.01269173912260646,0.09614989999681711,0.012926600000355393
1,0,2026,0.2,1280,1600,60,103,0.6490708637709933,0.6317978956219036,0.6275630908164875,0.6130431333434461,0.5488343102895236,0.6971853808530296,0.02150777295450579,0.04560230000060983,0.003716100000019651
1,0,2026,0.4,2560,1600,60,103,0.6437429542315154,0.635189363696858,0.6298975237614552,0.6154685773194067,0.5455635885060053,0.6949969687387287,0.01384543047006015,0.051163600001018494,0.005942699997831369
1,0,2026,0.6,3840,1600,60,103,0.6347579374036068,0.6289589102123435,0.6315012175370212,0.6171347932694586,0.5446582057144116,0.6934895858016421,0.0032567198665856,0.06812589999753982,0.010924300000624498
1,0,2026,0.8,5120,1600,60,103,0.6330376753070939,0.6286854832767372,0.6311503649267808,0.6167702621948814,0.5450068855206984,0.6938196476026345,0.0018873103803130897,0.09736809999958496,0.011834899996756576
1,0,2026,1.0,6400,1600,60,103,0.6245018034448813,0.6209476321570903,0.6307211075821253,0.616324269671097,0.5447296500504968,0.6942232545888491,-0.0062193041372440305,0.10603590000027907,0.013028699999267701
1,1,2037,0.2,1280,1600,60,103,0.6337143280417642,0.6156855008740085,0.6262309427702699,0.6116590497008847,0.5480405519146483,0.6984311289251199,0.0074833852714942806,0.03822080000099959,0.003378999997948995
1,1,2037,0.4,2560,1600,60,103,0.6335440266383752,0.6247455638925978,0.6298012803864593,0.6153685817660484,0.5443188359041576,0.69508732817998,0.0037427462519158405,0.04715779999969527,0.005488299997523427
1,1,2037,0.6,3840,1600,60,103,0.6265088662698027,0.6205788667927421,0.6305538002449114,0.6161504396306778,0.5438863329598369,0.6943805009056576,-0.004044933975108633,0.07165010000244365,0.009204099998896709
1,1,2037,0.8,5120,1600,60,103,0.6246369670702874,0.6201851422084999,0.6301988521223387,0.6157816533746716,0.5447195472908866,0.6947139863827009,-0.005561885052051352,0.15108450000116136,0.010957099999359343
1,1,2037,1.0,6400,1600,60,103,0.6245018034448813,0.6209476321570903,0.6307211075821254,0.6163242696710971,0.5447296500504968,0.6942232545888491,-0.0062193041372441416,0.12802770000052988,0.044316200001048855
1,2,2048,0.2,1280,1600,60,103,0.6436855916689322,0.6261475568044006,0.6274733242047839,0.6129498670587716,0.5452124059747407,0.6972693953494509,0.01621226746414839,0.05504019999716547,0.0038018000013835263
1,2,2048,0.4,2560,1600,60,103,0.6327980671281854,0.6239816941900866,0.6274266335714611,0.6129013561278533,0.5462814581580513,0.6973130901124631,0.005371433556724314,0.07346959999995306,0.008309800003189594
1,2,2048,0.6,3840,1600,60,103,0.6309663244670697,0.6251070970174862,0.6292142082299662,0.6147586218061832,0.5455357116704682,0.6956382549421165,0.0017521162371034738,0.07303469999897061,0.009967499998310814
1,2,2048,0.8,5120,1600,60,103,0.631827430758293,0.6274608851653887,0.6299227925347506,0.6154948312300625,0.5448595695018845,0.6949732428496321,0.0019046382235423653,0.08885459999874001,0.011560599999938859
1,2,2048,1.0,6400,1600,60,103,0.6245018034448813,0.6209476321570903,0.6307211075821254,0.6163242696710971,0.5447296500504968,0.6942232545888491,-0.0062193041372441416,0.0940602000009676,0.01198370000201976
1,3,2059,0.2,1280,1600,60,103,0.62282073432137,0.6042557171427664,0.6272869820260061,0.6127562600777022,0.5506903250315599,0.6974437646800468,-0.004466247704636106,0.03972090000024764,0.003937100002076477
1,3,2059,0.4,2560,1600,60,103,0.6183706964116522,0.6092079280181745,0.6305430532282501,0.6161392736270124,0.5453930128020549,0.6943906004337457,-0.012172356816597896,0.050577800000610296,0.0053054000018164515
1,3,2059,0.6,3840,1600,60,103,0.6226285742123436,0.616636966499388,0.6316317103650742,0.6172703735372018,0.5437586232557704,0.693366785626222,-0.009003136152730518,0.06227189999844995,0.007056300000840565
1,3,2059,0.8,5120,1600,60,103,0.6218240922387299,0.6173389065368766,0.629890318384621,0.6154610910311948,0.545204405570118,0.6950037340145738,-0.008066226145891031,0.08659970000007888,0.012430700000550132
1,3,2059,1.0,6400,1600,60,103,0.6245018034448813,0.6209476321570903,0.6307211075821254,0.6163242696710971,0.5447296500504968,0.6942232545888491,-0.0062193041372441416,0.09096560000034515,0.011509299998579081
1,4,2070,0.2,1280,1600,60,103,0.6461258716201481,0.628707948976349,0.623485324120192,0.6088063893880357,0.5509813736763912,0.7009916897398367,0.022640547499956143,0.041432599999097874,0.003865300001052674
1,4,2070,0.4,2560,1600,60,103,0.6307710362240913,0.6219059950770106,0.6272505725014237,0.6127184310784772,0.5464251390460688,0.6974778297308223,0.003520463722667566,0.049566599998797756,0.0075820999991265126
