fold,model,penalty,n_knots,degree,alpha,l1_ratio,engineered_feature_count,transformed_width,r2,adjusted_r2_raw,adjusted_r2_transformed,mae,rmse,transform_seconds,fit_seconds
2,additive_ridge_k4_d2_a1,ridge,4,2,1.0,0.0,60,130,0.6094813659775351,0.5942564679649633,0.5749221948251046,0.5647705304166987,0.7099392212106573,0.11286130000007688,0.011602300000959076
2,additive_ridge_k4_d2_a10,ridge,4,2,10.0,0.0,60,130,0.6094897965300314,0.5942652271939702,0.5749313714441935,0.5650055768356304,0.7099315580524177,0.11286130000007688,0.012400699997670017
2,additive_elastic_k4_d2_a0p003,elastic,4,2,0.003,0.9,60,130,0.6117755533824764,0.5966400973739959,0.5774194076641115,0.5623297284786948,0.7078508026077327,0.11286130000007688,0.05270659999951022
2,additive_elastic_k4_d2_a0p01,elastic,4,2,0.01,0.9,60,130,0.6113458130102435,0.5961936029911497,0.5769516371704421,0.5630656420244121,0.7082424677078711,0.11286130000007688,0.022875799997564172
2,additive_ridge_k4_d3_a1,ridge,4,3,1.0,0.0,60,139,0.6088204964726183,0.5935698335670673,0.571578064287477,0.5651158234864373,0.7105396776460005,0.12113049999970826,0.014696899997943547
2,additive_ridge_k4_d3_a10,ridge,4,3,10.0,0.0,60,139,0.6087851101728168,0.5935330676844275,0.571539309018037,0.565298877798518,0.7105718148122279,0.12113049999970826,0.01379330000054324
2,additive_elastic_k4_d3_a0p003,elastic,4,3,0.003,0.9,60,139,0.6127788427809844,0.597682501368937,0.5759132668539685,0.5618775052117377,0.7069355606188784,0.12113049999970826,0.038744199999200646
2,additive_elastic_k4_d3_a0p01,elastic,4,3,0.01,0.9,60,139,0.6133503317799587,0.5982762706407758,0.5765391647370917,0.5617704760399586,0.7064136946725998,0.12113049999970826,0.02131569999983185
2,additive_ridge_k5_d2_a1,ridge,5,2,1.0,0.0,60,139,0.6088088662576574,0.5935577499324198,0.5715653268123249,0.5650466810293086,0.7105502401469663,0.12559809999947902,0.015129600000364007
2,additive_ridge_k5_d2_a10,ridge,5,2,10.0,0.0,60,139,0.6086684259997763,0.5934118344208201,0.5714115158723577,0.5653384145036869,0.7106777748680478,0.12559809999947902,0.014270499999838648
2,additive_elastic_k5_d2_a0p003,elastic,5,2,0.003,0.9,60,139,0.6117003421219325,0.5965619539005653,0.5747320870225823,0.5628149853374859,0.7079193657461051,0.12559809999947902,0.047239599996828474
2,additive_elastic_k5_d2_a0p01,elastic,5,2,0.01,0.9,60,139,0.6110321505552837,0.595867711980441,0.5740002799574648,0.563703446509385,0.7085282027847312,0.12559809999947902,0.02625400000033551
2,additive_ridge_k5_d3_a1,ridge,5,3,1.0,0.0,60,148,0.60840306367103,0.5931361265821813,0.568460715926931,0.5654532539713291,0.710918689686086,0.17294589999801246,0.01608990000022459
2,additive_ridge_k5_d3_a10,ridge,5,3,10.0,0.0,60,148,0.6084395535679092,0.593174039087126,0.5685009277429958,0.5656536566071556,0.7108855664008707,0.17294589999801246,0.014914799998223316
2,additive_elastic_k5_d3_a0p003,elastic,5,3,0.003,0.9,60,148,0.6124409573369044,0.5973314430030605,0.5729104691810545,0.562010944920881,0.7072439259375946,0.17294589999801246,0.0887235000009241
2,additive_elastic_k5_d3_a0p01,elastic,5,3,0.01,0.9,60,148,0.6127531362815076,0.5976557926667516,0.5732544899477123,0.5621415097928579,0.7069590259392511,0.17294589999801246,0.03626989999975194
3,additive_ridge_k3_d2_a1,ridge,3,2,1.0,0.0,60,121,0.6142516301848513,0.5992127073850404,0.5826714185829345,0.5652293443214047,0.7132866463281861,0.12268390000099316,0.013757500000792788
3,additive_ridge_k3_d2_a10,ridge,3,2,10.0,0.0,60,121,0.614075701677109,0.59902992006608,0.5824810872677249,0.5653365224243211,0.7134492823372723,0.12268390000099316,0.010220300002401927
3,additive_elastic_k3_d2_a0p003,elastic,3,2,0.003,0.9,60,121,0.6148427130020677,0.5998268343666707,0.5833108918067025,0.565084453586763,0.7127399517129442,0.12268390000099316,0.028215399997861823
3,additive_elastic_k3_d2_a0p01,elastic,3,2,0.01,0.9,60,121,0.6122993084953894,0.5971842717895566,0.5805592654155126,0.5677692870755601,0.7150893855706291,0.12268390000099316,0.022848100001283456
3,additive_ridge_k3_d3_a1,ridge,3,3,1.0,0.0,60,130,0.6138452748983956,0.5987905097872219,0.5796722903761297,0.5659861480748428,0.7136622428691376,0.11831830000301125,0.01268540000091889
3,additive_ridge_k3_d3_a10,ridge,3,3,10.0,0.0,60,130,0.6146063509655015,0.5995812574358914,0.5805007183075813,0.5650321453418485,0.712958614106769,0.11831830000301125,0.012383499997667968
3,additive_elastic_k3_d3_a0p003,elastic,3,3,0.003,0.9,60,130,0.6177013424114635,0.6027969113163938,0.5838696028018584,0.5624656687302779,0.7100900551041166,0.11831830000301125,0.19850959999894258
3,additive_elastic_k3_d3_a0p01,elastic,3,3,0.01,0.9,60,130,0.6178083499624674,0.6029080907017448,0.5839860800476415,0.5629933802730682,0.7099906690427452,0.11831830000301125,0.042133700000704266
3,additive_ridge_k4_d2_a1,ridge,4,2,1.0,0.0,60,130,0.6129953503233817,0.5979074497511938,0.5787471512369553,0.5668975465231653,0.7144471946611334,0.11106800000197836,0.012064400001690956
3,additive_ridge_k4_d2_a10,ridge,4,2,10.0,0.0,60,130,0.6135743200487437,0.5985089913956733,0.5793773572211989,0.5660859494896914,0.7139125781937021,0.11106800000197836,0.013603999999759253
3,additive_elastic_k4_d2_a0p003,elastic,4,2,0.003,0.9,60,130,0.6163098933926388,0.6013512147724687,0.5823550167017219,0.5637520503224,0.7113811356119156,0.11106800000197836,0.03604320000158623
3,additive_elastic_k4_d2_a0p01,elastic,4,2,0.01,0.9,60,130,0.6157957634771275,0.6008170408056704,0.5817953885635989,0.5648226210652473,0.711857587674042,0.11106800000197836,0.018289600000571227
3,additive_ridge_k4_d3_a1,ridge,4,3,1.0,0.0,60,139,0.6128773644969632,0.5977848640874881,0.5760211683771534,0.5667269624664906,0.7145560928604605,0.11652590000085183,0.014643200000136858
3,additive_ridge_k4_d3_a10,ridge,4,3,10.0,0.0,60,139,0.6133489280224397,0.5982748121558681,0.5765376273341651,0.5663864352676877,0.7141207511414499,0.11652590000085183,0.01309689999834518
3,additive_elastic_k4_d3_a0p003,elastic,4,3,0.003,0.9,60,139,0.6169515380911749,0.602017874858862,0.580483225621773,0.5638346383922651,0.7107860656347771,0.11652590000085183,0.034493400002247654
3,additive_elastic_k4_d3_a0p01,elastic,4,3,0.01,0.9,60,139,0.6172291468772878,0.6023063065995993,0.5807872642854679,0.5637774610293047,0.7105284530338477,0.11652590000085183,0.021682800001144642
3,additive_ridge_k5_d2_a1,ridge,5,2,1.0,0.0,60,139,0.6119198250492542,0.5967899936671589,0.5749724659272312,0.567105856733249,0.7154392665735373,0.12385840000206372,0.01570020000144723
3,additive_ridge_k5_d2_a10,ridge,5,2,10.0,0.0,60,139,0.6125911989424279,0.597487541981119,0.575707758293796,0.5665877108120614,0.7148201481584782,0.12385840000206372,0.014850599996862002
3,additive_elastic_k5_d2_a0p003,elastic,5,2,0.003,0.9,60,139,0.6163432136324429,0.6013858340469631,0.5798169853412851,0.5643536470330401,0.7113502462245499,0.12385840000206372,0.03344020000076853
3,additive_elastic_k5_d2_a0p01,elastic,5,2,0.01,0.9,60,139,0.6165055543598918,0.6015545038476069,0.5799947817955253,0.5640895018043613,0.7111997297482139,0.12385840000206372,0.020947399996657623
3,additive_ridge_k5_d3_a1,ridge,5,3,1.0,0.0,60,148,0.6117545456025044,0.5966182705772609,0.5721540443958681,0.5679588675399809,0.7155915995531363,0.11001840000244556,0.014394300000276417
3,additive_ridge_k5_d3_a10,ridge,5,3,10.0,0.0,60,148,0.6120847215393164,0.5969613188702838,0.5725178978231336,0.5677018592873148,0.7152872542240162,0.11001840000244556,0.014442899999266956
3,additive_elastic_k5_d3_a0p003,elastic,5,3,0.003,0.9,60,148,0.6161589685151616,0.6011944058841738,0.577007712374737,0.5646368233184353,0.7115210330876601,0.11001840000244556,0.0613986999996996
3,additive_elastic_k5_d3_a0p01,elastic,5,3,0.01,0.9,60,148,0.6169370033457778,0.6020027734567244,0.5778651056856642,0.5642613533143873,0.7107995508690513,0.11001840000244556,0.030758100001548883
4,additive_ridge_k3_d2_a1,ridge,3,2,1.0,0.0,60,121,0.6261606615493218,0.6115860284713226,0.5955554112431432,0.5632342257720471,0.6949785379150778,0.10492830000293907,0.010192500001721783
4,additive_ridge_k3_d2_a10,ridge,3,2,10.0,0.0,60,121,0.6269370126376722,0.612392646658634,0.5963953201675493,0.5624650337912592,0.6942565328996679,0.10492830000293907,0.011554100001376355
4,additive_elastic_k3_d2_a0p003,elastic,3,2,0.003,0.9,60,121,0.6312544609735722,0.6168784165670838,0.6010662267231002,0.5583267615745342,0.6902275356272032,0.10492830000293907,0.024128900000505382
4,additive_elastic_k3_d2_a0p01,elastic,3,2,0.01,0.9,60,121,0.6289130350149514,0.6144457069453588,0.5985331143362025,0.5594973111576018,0.6924154391333556,0.10492830000293907,0.01555509999889182
4,additive_ridge_k3_d3_a1,ridge,3,3,1.0,0.0,60,130,0.6255132039318816,0.6109133288415065,0.5923727795010747,0.5634923922230007,0.6955800991254991,0.11462960000062594,0.013049799999862444
4,additive_ridge_k3_d3_a10,ridge,3,3,10.0,0.0,60,130,0.6261996779143177,0.6116265659421665,0.5931200033934609,0.5626837110008119,0.6949422706726597,0.11462960000062594,0.013183300001401221
4,additive_elastic_k3_d3_a0p003,elastic,3,3,0.003,0.9,60,130,0.6325492264411179,0.6182236602204987,0.6000314588695354,0.5577463211473144,0.6890146821088593,0.11462960000062594,0.10571260000142502
4,additive_elastic_k3_d3_a0p01,elastic,3,3,0.01,0.9,60,130,0.6335901848672831,0.6193052018211733,0.6011645375104055,0.555964473520725,0.6880380283919231,0.11462960000062594,0.03277629999865894
4,additive_ridge_k4_d2_a1,ridge,4,2,1.0,0.0,60,130,0.6251111565327304,0.6104956070798154,0.5919351526860694,0.5636687173120395,0.6959533848508469,0.10453609999967739,0.012191000001621433
4,additive_ridge_k4_d2_a10,ridge,4,2,10.0,0.0,60,130,0.6257646846392517,0.6111746138649535,0.5926465151383005,0.5630395495677383,0.6953465069747345,0.10453609999967739,0.012139999998908024
4,additive_elastic_k4_d2_a0p003,elastic,4,2,0.003,0.9,60,130,0.6313449251511103,0.6169724076131419,0.5987205822441288,0.55836740295475,0.690142863828045,0.10453609999967739,0.052406999999220716
4,additive_elastic_k4_d2_a0p01,elastic,4,2,0.01,0.9,60,130,0.6313453521464814,0.6169728512555059,0.5987210470267009,0.5576813256827114,0.6901424641483529,0.10453609999967739,0.019458700000541285
4,additive_ridge_k4_d3_a1,ridge,4,3,1.0,0.0,60,139,0.6248331296630085,0.6102067409559133,0.5891151878980484,0.5639182222164877,0.6962114051717904,0.11972750000131782,0.01321760000064387
4,additive_ridge_k4_d3_a10,ridge,4,3,10.0,0.0,60,139,0.6260813028587016,0.6115035758746353,0.5904821940212766,0.5630551442875454,0.6950522990932977,0.11972750000131782,0.01264429999719141
4,additive_elastic_k4_d3_a0p003,elastic,4,3,0.003,0.9,60,139,0.6329448069245477,0.6186346629449979,0.5979991412824327,0.5581596758600181,0.688643701590185,0.11972750000131782,0.04778760000044713
4,additive_elastic_k4_d3_a0p01,elastic,4,3,0.01,0.9,60,139,0.6345316814457067,0.6202834039192235,0.5997370949532089,0.5560106719452227,0.687153496806876,0.11972750000131782,0.025389399997948203
4,additive_ridge_k5_d2_a1,ridge,5,2,1.0,0.0,60,139,0.6247483729079744,0.6101186798439577,0.5890223618355144,0.5640010090962692,0.6962900438947057,0.10948500000085915,0.011819800001831027
4,additive_ridge_k5_d2_a10,ridge,5,2,10.0,0.0,60,139,0.6257462908839837,0.611155503004217,0.5901152870708835,0.5631206987496449,0.6953635949883403,0.10948500000085915,0.012224300000525545
4,additive_elastic_k5_d2_a0p003,elastic,5,2,0.003,0.9,60,139,0.6321531536723873,0.6178121460182894,0.5971321183028406,0.5582412335722146,0.6893859242898704,0.10948500000085915,0.04273060000195983
4,additive_elastic_k5_d2_a0p01,elastic,5,2,0.01,0.9,60,139,0.6324461992436028,0.6181166163681098,0.597453063418165,0.5574596611152568,0.6891112695725865,0.10948500000085915,0.021165199999813922
4,additive_ridge_k5_d3_a1,ridge,5,3,1.0,0.0,60,148,0.6224091504443556,0.6076882596234727,0.5838954042457096,0.5655212679772424,0.6984569190398006,0.12161910000213538,0.015297500001906883
4,additive_ridge_k5_d3_a10,ridge,5,3,10.0,0.0,60,148,0.6233328426964441,0.6086479632694048,0.5849133118343308,0.5647992388950214,0.6976020859732965,0.12161910000213538,0.01482169999871985
4,additive_elastic_k5_d3_a0p003,elastic,5,3,0.003,0.9,60,148,0.6314076114287276,0.617037537800218,0.593811695847371,0.5589170790123852,0.6900841852293238,0.12161910000213538,0.07627649999994901
4,additive_elastic_k5_d3_a0p01,elastic,5,3,0.01,0.9,60,148,0.6331090200181577,0.6188052781085343,0.59568664576777,0.5564179747555015,0.6884896417028612,0.12161910000213538,0.03242519999912474
